"No.","Time","Source","Destination","Protocol","Length","Info"
"35","0.900140000","192.168.178.25","46.228.47.114","TLSv1.2","131","Application Data"
"36","0.900191000","192.168.178.25","46.228.47.114","TLSv1.2","497","Application Data"
"37","0.930763000","206.190.36.45","192.168.178.25","TCP","60","http > 35057 [ACK] Seq=668 Ack=323 Win=15872 Len=0"
"38","0.954933000","46.228.47.114","192.168.178.25","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"39","0.954947000","46.228.47.114","192.168.178.25","TLSv1.2","139","Application Data"
"40","0.955053000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=846 Ack=7345 Win=46720 Len=0 TSval=13404 TSecr=3982553808"
"41","0.959553000","46.228.47.114","192.168.178.25","TCP","66","https > 59769 [ACK] Seq=7345 Ack=846 Win=17920 Len=0 TSval=3982553813 TSecr=13391"
"42","1.048069000","Avm_81:79:7a","AsustekC_ad:50:97","ARP","60","Who has 192.168.178.25?  Tell 192.168.178.1"
"43","1.048081000","AsustekC_ad:50:97","Avm_81:79:7a","ARP","42","192.168.178.25 is at 40:16:7e:ad:50:97"
"44","1.098111000","46.228.47.114","192.168.178.25","TLSv1.2","917","Application Data"
"45","1.099101000","192.168.178.25","192.168.178.1","DNS","72","Standard query 0x1c7c  A de.yahoo.com"
"46","1.128313000","192.168.178.1","192.168.178.25","DNS","131","Standard query response 0x1c7c  CNAME fd-fp2.wg1.b.yahoo.com A 46.228.47.115 A 46.228.47.114"
"47","1.130200000","192.168.178.25","46.228.47.114","TLSv1.2","495","Application Data"
"48","1.130277000","192.168.178.25","46.228.47.115","TCP","74","49875 > https [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=13448 TSecr=0 WS=128"
"49","1.192156000","46.228.47.115","192.168.178.25","TCP","74","https > 49875 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1452 SACK_PERM=1 TSval=143728882 TSecr=13448 WS=256"
"50","1.192185000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=13464 TSecr=143728882"
"51","1.192446000","192.168.178.25","46.228.47.115","TLSv1.2","252","Client Hello"
"52","1.226875000","46.228.47.114","192.168.178.25","TCP","66","https > 59769 [ACK] Seq=8196 Ack=1275 Win=18944 Len=0 TSval=3982554080 TSecr=13448"
"53","1.251472000","46.228.47.115","192.168.178.25","TCP","66","https > 49875 [ACK] Seq=1 Ack=187 Win=15616 Len=0 TSval=143728942 TSecr=13464"
"54","1.253092000","46.228.47.115","192.168.178.25","TLSv1.2","1506","Server Hello"
"55","1.253108000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=187 Ack=1441 Win=32128 Len=0 TSval=13479 TSecr=143728943"
"56","1.255263000","46.228.47.115","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"57","1.255270000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=187 Ack=2881 Win=35072 Len=0 TSval=13479 TSecr=143728943"
"58","1.255372000","46.228.47.115","192.168.178.25","TCP","1282","[TCP segment of a reassembled PDU]"
"59","1.255380000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=187 Ack=4097 Win=37888 Len=0 TSval=13479 TSecr=143728943"
"60","1.259652000","46.228.47.115","192.168.178.25","TLSv1.2","1506","Certificate"
"61","1.259659000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=187 Ack=5537 Win=40832 Len=0 TSval=13480 TSecr=143728947"
"62","1.259842000","46.228.47.115","192.168.178.25","TLSv1.2","1506","Certificate Status"
"63","1.259856000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=187 Ack=6977 Win=43776 Len=0 TSval=13481 TSecr=143728947"
"64","1.275123000","46.228.47.114","192.168.178.25","TLSv1.2","1395","Application Data"
"65","1.275871000","46.228.47.114","192.168.178.25","TLSv1.2","1210","Application Data"
"66","1.275887000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=10669 Win=55424 Len=0 TSval=13485 TSecr=3982554127"
"67","1.308631000","46.228.47.115","192.168.178.25","TLSv1.2","119","Server Key Exchange"
"68","1.308652000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=187 Ack=7030 Win=43776 Len=0 TSval=13493 TSecr=143729000"
"69","1.312107000","192.168.178.25","46.228.47.115","TLSv1.2","228","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"70","1.313057000","192.168.178.25","46.228.47.115","TLSv1.2","131","Application Data"
"71","1.318428000","192.168.178.25","192.168.178.1","DNS","70","Standard query 0x4f6c  A s.yimg.com"
"72","1.349576000","192.168.178.1","192.168.178.25","DNS","137","Standard query response 0x4f6c  CNAME s.gycs.b.yahoodns.net A 188.125.93.157 A 188.125.93.156"
"73","1.349806000","192.168.178.25","188.125.93.157","TCP","74","54339 > https [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=13503 TSecr=0 WS=128"
"74","1.365866000","46.228.47.114","192.168.178.25","TLSv1.2","345","Application Data"
"75","1.373241000","46.228.47.114","192.168.178.25","TLSv1.2","111","Application Data"
"76","1.373272000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=10993 Win=58240 Len=0 TSval=13509 TSecr=3982554219"
"77","1.375118000","46.228.47.114","192.168.178.25","TLSv1.2","200","Application Data"
"78","1.376068000","46.228.47.115","192.168.178.25","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"79","1.376207000","46.228.47.115","192.168.178.25","TLSv1.2","139","Application Data"
"80","1.376256000","192.168.178.25","46.228.47.115","TCP","66","49875 > https [ACK] Seq=414 Ack=7345 Win=46592 Len=0 TSval=13510 TSecr=143729067"
"81","1.384009000","188.125.93.157","192.168.178.25","TCP","74","https > 54339 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1452 SACK_PERM=1 TSval=2876167512 TSecr=13503 WS=256"
"82","1.384020000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=13512 TSecr=2876167512"
"83","1.384132000","192.168.178.25","188.125.93.157","TLSv1.2","250","Client Hello"
"84","1.391009000","46.228.47.114","192.168.178.25","TLSv1.2","539","Application Data"
"85","1.391063000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=11600 Win=64000 Len=0 TSval=13513 TSecr=3982554228"
"86","1.393085000","46.228.47.114","192.168.178.25","TLSv1.2","1375","Application Data"
"87","1.394046000","46.228.47.114","192.168.178.25","TLSv1.2","1395","Application Data"
"88","1.394053000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=14238 Win=69760 Len=0 TSval=13514 TSecr=3982554244"
"89","1.394099000","46.228.47.114","192.168.178.25","TLSv1.2","242","Application Data"
"90","1.396478000","46.228.47.114","192.168.178.25","TLSv1.2","1395","Application Data"
"91","1.396485000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=15743 Win=75648 Len=0 TSval=13515 TSecr=3982554246"
"92","1.396570000","46.228.47.114","192.168.178.25","TLSv1.2","164","Application Data"
"93","1.396791000","46.228.47.114","192.168.178.25","TLSv1.2","1395","Application Data"
"94","1.396809000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=17170 Win=78464 Len=0 TSval=13515 TSecr=3982554246"
"95","1.421577000","188.125.93.157","192.168.178.25","TCP","66","https > 54339 [ACK] Seq=1 Ack=185 Win=15616 Len=0 TSval=2876167549 TSecr=13512"
"96","1.422880000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Server Hello"
"97","1.422887000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=185 Ack=1441 Win=32128 Len=0 TSval=13521 TSecr=2876167550"
"98","1.425417000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Certificate"
"99","1.425424000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=185 Ack=2881 Win=35072 Len=0 TSval=13522 TSecr=2876167550"
"100","1.425527000","188.125.93.157","192.168.178.25","TCP","1282","[TCP segment of a reassembled PDU]"
"101","1.425532000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=185 Ack=4097 Win=37888 Len=0 TSval=13522 TSecr=2876167550"
"102","1.426342000","188.125.93.157","192.168.178.25","TLSv1.2","760","Certificate Status"
"103","1.426348000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=185 Ack=4791 Win=40832 Len=0 TSval=13522 TSecr=2876167554"
"104","1.428223000","192.168.178.25","188.125.93.157","TLSv1.2","228","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"105","1.428317000","192.168.178.25","188.125.93.157","TLSv1.2","223","Application Data"
"106","1.428373000","192.168.178.25","188.125.93.157","TLSv1.2","299","Application Data"
"107","1.428422000","192.168.178.25","188.125.93.157","TLSv1.2","162","Application Data"
"108","1.428482000","192.168.178.25","188.125.93.157","TLSv1.2","253","Application Data"
"109","1.428541000","192.168.178.25","188.125.93.157","TLSv1.2","159","Application Data"
"110","1.429213000","192.168.178.25","188.125.93.157","TLSv1.2","219","Application Data"
"111","1.429278000","192.168.178.25","188.125.93.157","TLSv1.2","144","Application Data"
"112","1.430022000","46.228.47.114","192.168.178.25","TLSv1.2","1506","Application Data"
"113","1.430118000","46.228.47.114","192.168.178.25","TLSv1.2","1057","Application Data"
"114","1.430125000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=19601 Win=84224 Len=0 TSval=13523 TSecr=3982554279"
"115","1.430127000","46.228.47.114","192.168.178.25","TLSv1.2","547","Application Data"
"116","1.445600000","46.228.47.114","192.168.178.25","TLSv1.2","1506","Application Data"
"117","1.445607000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=21522 Win=89984 Len=0 TSval=13527 TSecr=3982554281"
"118","1.446446000","46.228.47.114","192.168.178.25","TLSv1.2","1298","Application Data"
"119","1.466412000","188.125.93.157","192.168.178.25","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"120","1.466680000","188.125.93.157","192.168.178.25","TLSv1.2","110","Application Data"
"121","1.466686000","188.125.93.157","192.168.178.25","TLSv1.2","108","Application Data"
"122","1.466741000","192.168.178.25","188.125.93.157","TLSv1.2","104","Application Data"
"123","1.468980000","188.125.93.157","192.168.178.25","TLSv1.2","104","Application Data"
"124","1.470805000","188.125.93.157","192.168.178.25","TLSv1.2","521","Application Data"
"125","1.470826000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=5612 Win=46592 Len=0 TSval=13533 TSecr=2876167597"
"126","1.473067000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"127","1.473197000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"128","1.473203000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=8492 Win=52352 Len=0 TSval=13534 TSecr=2876167599"
"129","1.475818000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"130","1.475967000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"131","1.475973000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=11372 Win=58112 Len=0 TSval=13535 TSecr=2876167599"
"132","1.476715000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"133","1.477862000","188.125.93.157","192.168.178.25","TCP","66","https > 54339 [ACK] Seq=12812 Ack=1020 Win=19968 Len=0 TSval=2876167602 TSecr=13523"
"134","1.478519000","188.125.93.157","192.168.178.25","TCP","66","https > 54339 [ACK] Seq=12812 Ack=1266 Win=20992 Len=0 TSval=2876167606 TSecr=13523"
"135","1.483859000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1275 Ack=22754 Win=92928 Len=0 TSval=13537 TSecr=3982554298"
"136","1.502082000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"137","1.502092000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=14252 Win=64000 Len=0 TSval=13541 TSecr=2876167599"
"138","1.504342000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"139","1.504498000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"140","1.504504000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=17132 Win=69760 Len=0 TSval=13542 TSecr=2876167629"
"141","1.507427000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"142","1.507847000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"143","1.507851000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=20012 Win=75520 Len=0 TSval=13543 TSecr=2876167629"
"144","1.508305000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"145","1.510276000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"146","1.510282000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=22892 Win=81280 Len=0 TSval=13543 TSecr=2876167633"
"147","1.510385000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"148","1.512614000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"149","1.512621000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=25772 Win=87168 Len=0 TSval=13544 TSecr=2876167635"
"150","1.512707000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"151","1.513394000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"152","1.513401000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=28652 Win=92928 Len=0 TSval=13544 TSecr=2876167635"
"153","1.515259000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"154","1.536752000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"155","1.536764000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=31532 Win=98688 Len=0 TSval=13550 TSecr=2876167638"
"156","1.540198000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"157","1.540348000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"158","1.540354000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=34412 Win=104448 Len=0 TSval=13551 TSecr=2876167664"
"159","1.540476000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"160","1.541016000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"161","1.541023000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=37292 Win=110336 Len=0 TSval=13551 TSecr=2876167664"
"162","1.542651000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"163","1.544601000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"164","1.544607000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=40172 Win=116096 Len=0 TSval=13552 TSecr=2876167667"
"165","1.544731000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"166","1.547338000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"167","1.547344000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=43052 Win=121856 Len=0 TSval=13552 TSecr=2876167670"
"168","1.547804000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"169","1.547923000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"170","1.547928000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=45932 Win=127616 Len=0 TSval=13553 TSecr=2876167670"
"171","1.550144000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"172","1.550264000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"173","1.550270000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=48812 Win=133504 Len=0 TSval=13553 TSecr=2876167672"
"174","1.551976000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"175","1.554110000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"176","1.554119000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=51692 Win=139264 Len=0 TSval=13554 TSecr=2876167674"
"177","1.554560000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"178","1.554663000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"179","1.554669000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=54572 Win=145024 Len=0 TSval=13554 TSecr=2876167674"
"180","1.556352000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"181","1.572243000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"182","1.572259000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=57452 Win=150784 Len=0 TSval=13559 TSecr=2876167676"
"183","1.574488000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"184","1.574633000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"185","1.574639000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=60332 Win=156672 Len=0 TSval=13559 TSecr=2876167699"
"186","1.576776000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"187","1.576920000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"188","1.576927000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=63212 Win=162432 Len=0 TSval=13560 TSecr=2876167699"
"189","1.580046000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"190","1.580201000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"191","1.580208000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=66092 Win=168192 Len=0 TSval=13561 TSecr=2876167702"
"192","1.580326000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"193","1.582476000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"194","1.582483000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=68972 Win=173952 Len=0 TSval=13561 TSecr=2876167704"
"195","1.582637000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"196","1.584728000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"197","1.584735000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=71852 Win=179840 Len=0 TSval=13562 TSecr=2876167704"
"198","1.584883000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"199","1.587231000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"200","1.587238000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=74732 Win=184832 Len=0 TSval=13562 TSecr=2876167707"
"201","1.587853000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"202","1.587964000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"203","1.587970000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=77612 Win=184832 Len=0 TSval=13563 TSecr=2876167709"
"204","1.590454000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"205","1.590560000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"206","1.590566000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=80492 Win=184832 Len=0 TSval=13563 TSecr=2876167709"
"207","1.592418000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"208","1.592525000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"209","1.592531000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=83372 Win=184832 Len=0 TSval=13564 TSecr=2876167711"
"210","1.594811000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"211","1.594931000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"212","1.594938000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=86252 Win=184832 Len=0 TSval=13564 TSecr=2876167714"
"213","1.596971000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"214","1.597092000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"215","1.597098000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=89132 Win=184832 Len=0 TSval=13565 TSecr=2876167714"
"216","1.599064000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"217","1.599186000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"218","1.599193000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=92012 Win=184832 Len=0 TSval=13565 TSecr=2876167716"
"219","1.601373000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"220","1.603342000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"221","1.603360000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=94892 Win=184832 Len=0 TSval=13566 TSecr=2876167718"
"222","1.603458000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"223","1.606562000","188.125.93.157","192.168.178.25","TLSv1.2","1506","Application Data"
"224","1.606568000","192.168.178.25","188.125.93.157","TCP","66","54339 > https [ACK] Seq=1382 Ack=97772 Win=184832 Len=0 TSval=13567 TSecr=2876167718"
"225","1.609407000","188.125.93.157","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
